       CurrError      VanishGrad     ResetWeight   ChangeInitialRelocateInterval
     1680.128597               0     -1547608948       432760960           32767
     1676.128597               0             100       432760960           32767
     1676.128597               0             100       432760960           32767
     1611.133985               0             101       432760960               1
     1644.678771               0             101       432760960               1
     2409.128582               0             102       432760960               1
     2120.102125               0             103       432760960               1
     1554.848967               0             104       432760960               1
     1571.474479               0             104       432760960               1
     1931.364234               0             105       432760960               1
     1644.701378               0             106       432761264           32767
     1609.133986               0             101       432761264           32767
     1609.133984               0             101       432761264           32767
     1975.940329               0             102       432761264               1
     2116.101680               0             103       432761264               1
     1567.475131               0             104       432761264               1
     1563.596268               0             104       432761264               1
     1563.814256               0             104       432761264               2
     1560.848442               0             105       432761264               2
     1560.814005               0             105       432761264               0
     1977.940492               0             105       432761264           32767
     1977.940492               0             102       432761264           32767
     2116.102135               0             103       432761264           32767
     1554.848968               0             104       432761264           32767
     1554.848968               0             104       432761264               1
     1560.835774               0             105       432761264               1
     1690.626045               0             106       432761264               1
     1908.157938               0             107       432761264               1
     1774.892816               0             108       432761264               1
     1545.021139               0             109       432761264               1
     2120.102136               0             109       432761264           32767
     2118.102130               0             103       432761264           32767
     2116.102135               0             103       432761264           32767
     2116.102135               0             103       432761264           32767
     1554.848968               0             104       432761264               1
     1567.474779               0             104       432761264               1
     1560.835745               0             105       432761264               1
     1690.626045               0             106       432761264               2
     1908.157609               0             107       432761264               2
     1768.032798               0             108       432761264               2
     1558.848967               0             109       432761264           32767
     1558.848968               0             104       432761264           32767
     1549.924855               0             105       432761264               1
     1549.924870               0             105       432761264               1
     1946.175828               0             106       432761264               2
     1910.150763               0             107       432761264               2
     1766.032794               0             108       432761264               2
     1541.021144               0             109       432761264               2
     1541.020698               0             109       432761264               0
     1598.186071               0             110       432761264               1
     1551.924870               0             111       432761264           32767
     1549.924855               0             105       432761264           32767
     1549.924855               0             105       432761264           32767
     1694.626074               0             106       432761264               1
     1910.157938               0             107       432761264               1
     1770.032715               0             108       432761264               1
     1543.021139               0             109       432761264               1
     1547.021139               0             109       432761264               1
     1571.007834               0             110       432761264               1
     1680.187801               0             111       432761264               1
     1696.626045               0             112       432761264           32767
     1690.626046               0             106       432761264           32767
     1690.626046               0             106       432761264           32767
     1906.157926               0             107       432761264               1
     1775.220171               0             108       432761264               1
     1541.021139               0             109       432761264               1
     1543.021139               0             109       432761264               1
     1567.007833               0             110       432761264               2
     1762.520180               0             111       432761264               2
     1598.646504               0             112       432761264               2
     1910.157938               0             113       432761264           32767
     1906.157542               0             107       432761264           32767
     1906.157931               0             107       432761264           32767
     1766.032760               0             108       432761264               1
     1775.775119               0             108       432761264               1
     1541.021139               0             109       432761264               1
     1543.021139               0             109       432761264               1
     1567.007833               0             110       432761264               2
     1762.540201               0             111       432761264               2
     1598.646506               0             112       432761264               2
     1770.032794               0             113       432761264           32767
     1768.032758               0             108       432761264           32767
     1768.032758               0             108       432761264           32767
     1541.021141               0             109       432761264               1
     1547.021139               0             109       432761264               1
     1571.007836               0             110       432761264               1
     1680.187802               0             111       432761264               1
     1614.828445               0             112       432761264               1
     1695.359613               0             113       432761264               1
     1946.581898               0             114       432761264               1
     1547.021139               0             115       432761264           32767
     1541.021141               0             109       432761264           32767
     1541.021141               0             109       432761264           32767
     1598.186032               0             110       432761264           32767
     1764.757205               0             111       432761264               1
     1610.903882               0             112       432761264               1
     1693.353879               0             113       432761264               1
     1942.588437               0             114       432761264               1
     1716.709325               0             115       432761264               1
     1624.749245               0             116       432761264               1
